Derrik Kondo;Patricio Domingues;2007;4
Patricio Domingues;Derrik Kondo;2007;4
Derrik Kondo;Patricio Domingues;2008;2
Patricio Domingues;Derrik Kondo;2008;2
Derrik Kondo;Patricio Domingues;2011;2
Patricio Domingues;Derrik Kondo;2011;2
Derrik Kondo;Paul Malecot;2007;2
Paul Malecot;Derrik Kondo;2007;2
Diamantino Costa;F. Moreira;1995;2
F. Moreira;Diamantino Costa;1995;2
Diamantino Costa;F. Moreira;1996;2
F. Moreira;Diamantino Costa;1996;2
Diamantino Costa;F. Moreira;2002;2
F. Moreira;Diamantino Costa;2002;2
Diamantino Costa;Fernando Aldea-Montero;2004;2
Fernando Aldea-Montero;Diamantino Costa;2004;2
Diamantino Costa;Han van Loon;2004;2
Han van Loon;Diamantino Costa;2004;2
Diamantino Costa;Henrique Madeira;1995;2
Henrique Madeira;Diamantino Costa;1995;2
Diamantino Costa;Henrique Madeira;1996;2
Henrique Madeira;Diamantino Costa;1996;2
Diamantino Costa;Henrique Madeira;1999;2
Henrique Madeira;Diamantino Costa;1999;2
Diamantino Costa;Henrique Madeira;2000;6
Henrique Madeira;Diamantino Costa;2000;6
Diamantino Costa;Henrique Madeira;2001;4
Henrique Madeira;Diamantino Costa;2001;4
Diamantino Costa;Henrique Madeira;2002;6
Henrique Madeira;Diamantino Costa;2002;6
Diamantino Costa;Henrique Madeira;2003;2
Henrique Madeira;Diamantino Costa;2003;2
Diamantino Costa;Henrique Madeira;2005;2
Henrique Madeira;Diamantino Costa;2005;2
Diamantino Costa;Henrique Madeira;2006;2
Henrique Madeira;Diamantino Costa;2006;2
Diamantino Costa;João Carreira;1996;2
João Carreira;Diamantino Costa;1996;2
Diamantino Costa;João Carreira;1997;2
João Carreira;Diamantino Costa;1997;2
Diamantino Costa;João Carreira;1999;2
João Carreira;Diamantino Costa;1999;2
Diamantino Costa;João Carreira;2003;2
João Carreira;Diamantino Costa;2003;2
Diamantino Costa;João Gabriel Silva;1995;2
João Gabriel Silva;Diamantino Costa;1995;2
Diamantino Costa;João Gabriel Silva;1996;2
João Gabriel Silva;Diamantino Costa;1996;2
Diamantino Costa;João Gabriel Silva;1997;2
João Gabriel Silva;Diamantino Costa;1997;2
Diamantino Costa;João Gabriel Silva;1999;2
João Gabriel Silva;Diamantino Costa;1999;2
Diamantino Costa;João Gabriel Silva;2003;2
João Gabriel Silva;Diamantino Costa;2003;2
Diamantino Costa;João Gabriel Silva;2004;2
João Gabriel Silva;Diamantino Costa;2004;2
Diamantino Costa;João Pedro Costa;2002;2
João Pedro Costa;Diamantino Costa;2002;2
Diamantino Costa;Knud Pedersen;2004;2
Knud Pedersen;Diamantino Costa;2004;2
Diamantino Costa;Luis Henriques;2002;2
Luis Henriques;Diamantino Costa;2002;2
Diamantino Costa;Luis Henriques;2005;2
Luis Henriques;Diamantino Costa;2005;2
Diamantino Costa;Manuel Rodríguez;2004;2
Manuel Rodríguez;Diamantino Costa;2004;2
Diamantino Costa;Marco Vieira;2000;4
Marco Vieira;Diamantino Costa;2000;4
Diamantino Costa;Marco Vieira;2001;4
Marco Vieira;Diamantino Costa;2001;4
Diamantino Costa;Marco Vieira;2002;2
Marco Vieira;Diamantino Costa;2002;2
Diamantino Costa;Mário Alberto Zenha Rela;1995;2
Mário Alberto Zenha Rela;Diamantino Costa;1995;2
Diamantino Costa;Patricia Rodríguez-Dapena;2004;2
Patricia Rodríguez-Dapena;Diamantino Costa;2004;2
Diamantino Costa;R. R. Some;2002;2
R. R. Some;Diamantino Costa;2002;2
Diamantino Costa;Ricardo Barbosa;2005;2
Ricardo Barbosa;Diamantino Costa;2005;2
Diamantino Costa;Ricardo Barbosa;2006;2
Ricardo Barbosa;Diamantino Costa;2006;2
Diamantino Costa;Ricardo Maia;2002;2
Ricardo Maia;Diamantino Costa;2002;2
Diamantino Costa;Ricardo Maia;2005;2
Ricardo Maia;Diamantino Costa;2005;2
Diamantino Costa;Tiago Rilho;2000;4
Tiago Rilho;Diamantino Costa;2000;4
Diamantino Costa;Tiago Rilho;2001;2
Tiago Rilho;Diamantino Costa;2001;2
Diogo Ferreira;Etienne Urbah;2009;2
Etienne Urbah;Diogo Ferreira;2009;2
Diogo Ferreira;Filipe Araujo;2009;4
Filipe Araujo;Diogo Ferreira;2009;4
Diogo Ferreira;Filipe Araujo;2010;2
Filipe Araujo;Diogo Ferreira;2010;2
Diogo Ferreira;Filipe Araujo;2011;2
Filipe Araujo;Diogo Ferreira;2011;2
Diogo Ferreira;Gábor Gombás;2009;2
Gábor Gombás;Diogo Ferreira;2009;2
Diogo Ferreira;Jorge Farinha;2009;2
Jorge Farinha;Diogo Ferreira;2009;2
Diogo Ferreira;Luís Silva;2009;2
Luís Silva;Diogo Ferreira;2009;2
Diogo Ferreira;Naghmeh Ramezani Ivaki;2009;2
Naghmeh Ramezani Ivaki;Diogo Ferreira;2009;2
Diogo Ferreira;Oleg Lodygensky;2009;2
