Paulo Marques;Bruno Cabral;9
Bruno Cabral;Paulo Sacramento;2
Paulo Sacramento;Bruno Cabral;2
Bruno Miguel Luis;José Carlos Bregieiro Ribeiro;1
José Carlos Bregieiro Ribeiro;Bruno Miguel Luis;1
Bruno Miguel Luis;Mário Alberto Zenha Rela;1
Mário Alberto Zenha Rela;Bruno Miguel Luis;1
Carlo Emmanoel Tolla de Oliveira;Luis Orleans;1
Luis Orleans;Carlo Emmanoel Tolla de Oliveira;1
Carlo Emmanoel Tolla de Oliveira;Pedro Furtado;1
Pedro Furtado;Carlo Emmanoel Tolla de Oliveira;1
Carlos Alberto Maziero;Aline Maria Santos Andrade;1
Aline Maria Santos Andrade;Carlos Alberto Maziero;1
Carlos Alberto Maziero;Flávio Morais de Assis Silva;1
Flávio Morais de Assis Silva;Carlos Alberto Maziero;1
Carlos Alberto Maziero;João Gabriel Silva;1
João Gabriel Silva;Carlos Alberto Maziero;1
Carlos Cunha;Luís Silva;3
Luís Silva;Carlos Cunha;3
Cristina Gacek;António Casimiro Costa;1
António Casimiro Costa;Cristina Gacek;1
Cristina Gacek;Rogério de Lemos;2
Rogério de Lemos;Cristina Gacek;2
D. Weyns;J. Andersson;2
J. Andersson;D. Weyns;2
D. Weyns;Rogério de Lemos;2
Rogério de Lemos;D. Weyns;2
D. Weyns;S. Malek;2
S. Malek;D. Weyns;2
David Alves;Paulo Marques;3
Paulo Marques;David Alves;3
David Alves;Pedro Bizarro;3
Pedro Bizarro;David Alves;3
David DeWitt;Jennifer Widom;1
Jennifer Widom;David DeWitt;1
David DeWitt;Nicolas Bruno;1
Nicolas Bruno;David DeWitt;1
David DeWitt;Pedro Bizarro;3
Pedro Bizarro;David DeWitt;3
David DeWitt;Shivnath Babu;2
Shivnath Babu;David DeWitt;2
David Pereira;Juan A. Gomez-Pulido;1
Juan A. Gomez-Pulido;David Pereira;1
David Pereira;Juan M. Sánchez-Pérez;1
Juan M. Sánchez-Pérez;David Pereira;1
David Pereira;Luís Silva;1
